Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W
2526,AMD Radeon RX 560 Mobile,GPU,2017-01-05,14.0,55.0,123.0,3000.0,1000.0,GF,AMD,1887.0,1887.0,117.9,medium <100,2017.0,24.390243902439025,34.30909090909091,34.30909090909091,2.1436363636363636
2527,NVIDIA Quadro M5500 Mobile,GPU,2016-04-08,28.0,150.0,398.0,5200.0,1140.0,TSMC,NVIDIA,0.0,4772.0,149.1,high <200,2016.0,13.06532663316583,0.0,31.813333333333333,0.994
2528,ATI Radeon X600 SE,GPU,2004-09-01,110.0,36.0,74.0,107.0,325.0,TSMC,ATI,0.0,0.0,0.0,medium <100,2004.0,1.445945945945946,0.0,0.0,0.0
2530,AMD FirePro W4000,GPU,2012-08-07,28.0,75.0,212.0,2800.0,825.0,TSMC,AMD,0.0,1267.0,79.2,medium <100,2012.0,13.20754716981132,0.0,16.893333333333334,1.056
2531,NVIDIA GeForce GTX 580,GPU,2010-11-09,40.0,244.0,520.0,3000.0,772.0,TSMC,NVIDIA,0.0,1581.0,197.6,,2010.0,5.769230769230769,0.0,6.479508196721311,0.8098360655737704
2532,NVIDIA GeForce RTX 2060 Max-Q Refresh,GPU,2019-01-29,12.0,115.0,445.0,10800.0,960.0,TSMC,NVIDIA,9216.0,4608.0,144.0,high <200,2019.0,24.269662921348313,80.13913043478261,40.06956521739131,1.2521739130434784
2533,ATI Mobility Radeon HD 5650,GPU,2010-01-07,40.0,15.0,104.0,627.0,450.0,TSMC,ATI,0.0,360.0,0.0,low<30,2010.0,6.028846153846154,0.0,24.0,0.0
2534,Intel GMA X4500,GPU,2008-06-01,65.0,13.0,148.0,624.0,533.0,Intel,Intel,0.0,85.28,0.0,low<30,2008.0,4.216216216216216,0.0,6.5600000000000005,0.0
2535,AMD Radeon E9550 MXM,GPU,2016-09-27,14.0,95.0,232.0,5700.0,1120.0,GF,AMD,5834.0,5834.0,364.6,medium <100,2016.0,24.56896551724138,61.410526315789475,61.410526315789475,3.8378947368421055
2536,Intel HD Graphics 2000,GPU,2011-02-01,32.0,65.0,131.0,504.0,650.0,Intel,Intel,0.0,96.0,0.0,,2011.0,3.8473282442748094,0.0,1.476923076923077,0.0
