Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W,Log Transistors (million),Log FP16 GFLOPS,Log FP32 GFLOPS,Log FP64 GFLOPS
1642,AMD A10-6700,CPU,2013-06-01,32.0,-0.1924452219154178,0.5566781275475325,1178.0,2.06316326207381,Unknown,AMD,0.0,0.0,0.0,medium <100,2013.0,4.788617886178862,0.0,0.0,0.0,0.4848164856266136,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1643,Intel Xeon MP 3.16,CPU,2005-03-29,90.0,0.7960649211491287,-0.2886652991836356,286.0,1.564395550124763,Intel,Intel,0.0,0.0,0.0,high <200,2005.0,1.9324324324324325,0.0,0.0,0.0,-0.4636291041910446,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1644,Intel Core 2 Duo E7500,CPU,2009-01-10,45.0,-0.1924452219154178,-0.8579782192270755,228.0,1.3454243595129862,Intel,Intel,0.0,0.0,0.0,medium <100,2009.0,2.7804878048780486,0.0,0.0,0.0,-0.6151722167027249,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1645,AMD A10-6700T,CPU,2013-09-16,32.0,-0.4748766913624311,0.5566781275475325,1178.0,0.9402340794493138,Unknown,AMD,0.0,0.0,0.0,medium <100,2013.0,4.788617886178862,0.0,0.0,0.0,0.4848164856266136,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1646,AMD Athlon XP 1800+,CPU,2001-10-09,180.0,-0.1783236484430672,-0.2714133925156526,37.0,0.0353403131177403,Unknown,AMD,0.0,0.0,0.0,medium <100,2001.0,0.2466666666666666,0.0,0.0,0.0,-1.8208408932534208,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1647,Intel Xeon E5-2440 v2,CPU,2013-09-01,22.0,0.2312019822551021,-0.1851538591757375,1400.0,0.3787694881370655,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1648,AMD A9-9410 SoC,CPU,2016-05-31,28.0,-0.7573081608094445,-0.495688179199432,1200.0,1.3145438069908126,Unknown,AMD,0.0,0.0,0.0,low<30,2016.0,9.67741935483871,0.0,0.0,0.0,0.4972266315379331,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1649,Intel Core i3-4130T,CPU,2013-09-01,22.0,-0.6160924260859378,-0.0385126524978818,1400.0,1.3145438069908126,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,7.909604519774011,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1650,Intel Core i5-4250U,CPU,2013-06-04,22.0,-0.8985238955329512,-0.547443899203381,1400.0,-0.1826951031751827,Intel,Intel,0.0,0.0,0.0,low<30,2013.0,11.864406779661016,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1651,AMD Athlon II X2 240,CPU,2009-07-23,45.0,-0.1924452219154178,-0.5560698525373725,410.0,1.2209663751054378,Unknown,AMD,0.0,0.0,0.0,medium <100,2009.0,3.5042735042735043,0.0,0.0,0.0,-0.222573348820758,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1652,AMD Opteron 140,CPU,2004-05-18,130.0,0.0476215271145434,0.0995026008459823,106.0,-0.089117671289808,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.5492227979274611,0.0,0.0,0.0,-1.1259270481529586,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1653,Intel Xeon Gold 5318Y,CPU,2021-04-06,10.0,1.2197121253196488,-0.2886652991836356,624.0,0.5659243519078149,Intel,Intel,0.0,0.0,0.0,high <200,2021.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1654,Intel Celeron G3950,CPU,2017-01-03,14.0,-0.3901472505283271,-0.2886652991836356,624.0,1.4081212388761872,Intel,Intel,0.0,0.0,0.0,medium <100,2017.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1655,AMD A8-6500,CPU,2013-06-01,32.0,-0.1924452219154178,0.5566781275475325,1178.0,1.8760083983030609,Unknown,AMD,0.0,0.0,0.0,medium <100,2013.0,4.788617886178862,0.0,0.0,0.0,0.4848164856266136,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1656,Intel Pentium M 745,CPU,2004-05-10,90.0,-0.8137944546988471,-0.8407263125590925,140.0,0.2851920562516908,Intel,Intel,0.0,0.0,0.0,low<30,2004.0,1.6666666666666667,0.0,0.0,0.0,-0.9407064078829006,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1657,AMD Athlon 64 X2 4600+,CPU,2006-05-23,90.0,0.1464725414209981,-0.2196576725117035,154.0,0.8466566475639391,Unknown,AMD,0.0,0.0,0.0,medium <100,2006.0,0.9871794871794872,0.0,0.0,0.0,-0.8771617162097396,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1658,AMD Opteron 4376 HE,CPU,2012-12-04,32.0,-0.1924452219154178,1.151868907592947,1200.0,1.0338115113346884,Unknown,AMD,0.0,0.0,0.0,medium <100,2012.0,3.809523809523809,0.0,0.0,0.0,0.4972266315379331,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1659,Intel Xeon E5-2640 v2,CPU,2013-09-01,22.0,0.2312019822551021,-0.1851538591757375,1400.0,0.4723469200224402,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1660,AMD Ryzen 3 1200,CPU,2017-07-27,14.0,-0.1924452219154178,0.0908766475119908,4800.0,1.501698670761562,GF,AMD,0.0,0.0,0.0,medium <100,2017.0,25.0,0.0,0.0,0.0,1.4273670453271825,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1661,AMD Phenom II X4 970 BE,CPU,2010-10-01,45.0,0.6548491864256222,1.4192734609466835,904.0,1.8760083983030609,Unknown,AMD,0.0,0.0,0.0,high <200,2010.0,2.61271676300578,0.0,0.0,0.0,0.307277776452183,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1662,Intel Celeron N2820,CPU,2013-12-01,22.0,-1.0114964833117566,-0.2886652991836356,624.0,0.6314285542275773,Intel,Intel,0.0,0.0,0.0,low<30,2013.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1663,Intel Pentium G4560T,CPU,2017-01-03,14.0,-0.6160924260859378,-0.2886652991836356,624.0,1.3145438069908126,Intel,Intel,0.0,0.0,0.0,medium <100,2017.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1664,Intel Xeon X5660,CPU,2010-03-16,32.0,0.2312019822551021,0.4962964542095919,1170.0,1.2209663751054378,Intel,Intel,0.0,0.0,0.0,medium <100,2010.0,4.895397489539749,0.0,0.0,0.0,0.480246207855315,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1665,AMD Opteron X2 165,CPU,2005-08-02,90.0,0.4430255843403621,-0.2886652991836356,233.0,0.2851920562516908,Unknown,AMD,0.0,0.0,0.0,high <200,2005.0,1.5743243243243243,0.0,0.0,0.0,-0.60067366269177,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1666,Intel Core i3-3217UE,CPU,2012-08-01,22.0,-0.8702807485882499,-0.547443899203381,624.0,0.0980371924809413,Intel,Intel,0.0,0.0,0.0,low<30,2012.0,5.288135593220339,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
